stage	input	output	owner	status	qualification
O01	supplied_complete_metric_history_plus_query_and_regular_null_branches	branch_observation_maps_Psi_b	G188_G221_G226	DERIVED_CONDITIONAL	does_not_select_history_query_or_branches
O02	source_one_point_measure_plus_supplied_branch_weights	observed_one_point_measure_nu_1	measure_pushforward	DERIVED_CONDITIONAL	population_and_weights_are_inputs
O03	source_factorial_pair_measure_plus_joint_branch_weights	observed_factorial_pair_measure_nu_2	product_pushforward	DERIVED_CONDITIONAL	one_source_map_alone_does_not_supply_joint_measure
O04	homogeneous_Poisson_parent_plus_independent_single_branch_mark_and_one_image_per_event	nu_2_equals_nu_1_tensor_nu_1	G239	DERIVED_CONDITIONAL	source_and_single_image_marking_are_chosen_controls
O05	homogeneous_Poisson_parent_plus_same_event_multibranch_image_multiplicity	Sigma_sib_and_nonzero_normalized_Gamma	G239	DERIVED_EXACT_CONTROL	not_parent_source_correlation_and_physical_multiplicity_open
O06	general_normalized_observed_pair_measure	Gamma_equals_bar_nu_2_minus_P_tensor_P	G239	DERIVED_DEFINITION	Gamma_is_not_owned_physics
O07	released_random_catalogue	Q_reference_measure	BOSS_release_and_method	OBSERVED_AND_CHOSE	owns_footprint_and_completeness_not_source_law
O08	angular_bin_edges	K_symmetric_pair_kernel	BOSS_frozen_preregistration	CHOSE_OBSERVATIONAL_READOUT	no_feature_location_or_scale
O09	P_Q_Gamma_K	population_Landy_Szalay_expectation	G239	DERIVED_CONDITIONAL	excludes_finite_catalogue_bias_and_covariance
O10	factorized_P_Q_K	quadratic_reference_mismatch_term	G239	DERIVED_EXACT	can_have_either_sign
O11	P_equals_Q	zero_intensity_term	G239	DERIVED_EXACT	matched_reference_cancellation
O12	angularly_constant_positive_response	P_equals_Q_and_zero_intensity_term	G126_G239	DERIVED_EXACT	pure_radial_multiplier_cancels
O13	nonconstant_positive_response_relative_to_fixed_Q	nonzero_exact_control_witness	G239	DERIVED_EXISTENCE_WITNESS	control_values_are_not_metric_history
O14	G127_supplied_metric_local_radial_and_tilted_queries	direction_dependent_Jacobi_area_coefficient	G127_G239	DERIVED_CONDITIONAL_LOCAL_LIVENESS	not_global_BOSS_map
O15	connected_Gamma	additive_connected_pair_term	G239	DERIVED_EXACT	physical_Gamma_open
O16	G237_frozen_state	physical_P_and_Gamma_on_BOSS_sky	NONE	OPEN	continuous_history_incidence_population_and_branch_weights_missing
O17	G239_conditional_operator	BOSS_outcome_prediction	NONE	CLOSED_NO_OUTCOME_OPENING	must_freeze_physical_inputs_first
